향수_이름,향수_설명,향수_name
끌로에 오드뚜왈렛,아주 고급진 장미비누 향이 나는데요. 백장미가 떠오르는 향입니다. 초여름 즈음에 이파리들이랑 백장미가 피어 있을 때 날 것 같은 향으로 느껴지기도 해요. 약간 청초한 이미지가 있어요.,Chloe Eau de Toilette
플로리스 런던 화이트 로즈,이 향은 아주 퓨어한 이미지의 순백의 장미가 떠오르는 향이거든요. 막 검붉고 가시 도친 장미 말고요 부드러운 흰 장미의 꽃잎만 떼서 그걸로 우유 비누를 만든다면 딱 이런 향이 날 것 같습니다. 상냥하고 마일드한 이미지에 은은한 향이라서 서비스직이나 실내에서 일하는 분들 혹은 학생 분들에게까지 두루두루 잘 어울릴 것 같습니다.,Floris London White Rose
플로리스 런던 넘버 007,이 향은 가을 겨울에 특히 잘 어울릴 것 같아요! 마치 제임스 본드가 블랙이나 딥한 브라운 컬러의 수트를 딱 입고 있는 모습을 연상케 하는 향이에요. 그만큼 분위기 있고 강인한 매력을 가진 사람에게 잘 어울릴 것 같습니다. 전체적으로 샌달우드 향이랑 엠버 향이 많이 나는 엠버 우디 계열의 향인데요. 향이 약간 이국적인 장소들의 장엄한 느낌을 자아냅니다. 비밀스러운 관능미가 있는 젠틀맨 혹은 분위기 있고 이국적인 향을 좋아하는 여자분들께 추천드려요.,Floris London Number 007
플로리스 런던 부케 드 라렌,정말 정석적인 예쁜 부케 향이예요. 촉촉한 꽃들이 모여 있는듯한 물기 있는 플로럴 향이 지배적이고 달콤한 플로럴 향이 지배적이고 달콤한 과일향도 곁들어져 있어서 개인적으로 이 향이 왕실에서만 사용되는 달콤한 향의 샴푸나 바디 워시가 있다면 딱 이런 향이지 않을까라는 생각이 들게 하더라고요. 럭셔리하지만 어렵지 않게 쓸 수 있는 프루티 플로럴 향을 찾는 분들에게 추천을 하고 싶습니다.,Floris London Bouquet de la Reine
플로리스 런던 스페셜 넘버 127,확실히 중성적이고 신사적인 이미지가 있긴 한데 남자 스킨 냄새가 강하게 나는 스타일이 전혀 아니예요. 저한테 이 향은 앤티크하면서 고급스러운 분위기의 바버샵에서 사용하는 비누향처럼 느껴졌어요. 뿌리자마자 라벤더 향이 편안하게 느껴지고 너무 톡 쏘지 않은 시트러스 향이랑 네롤리 향도 꽤 느껴집니다. 중성적인 시트러스 허브향을 좋아하시는 분들이라면 추천합니다!,Floris London Special Number 127
플로리스 런던 릴리,은방울 꽃들이 막 만발해 있고 그 사이에 장미나 자스민 일랑일랑 이런 꽃들이 드물게 피어져 있는 모습이 떠올라요. 전체적으로 푸릇하고 신선한 식물의 달콤한 이슬이 어려 있는 이미지로 다가온 향수입니다.,Floris London Lily
플로리스 런던 세피로,개운하고 부담없는 스킨향이랑 시트러스향의 조합을 선호하셨던 분들에게 특히 추천드려요. 정말 지중해 안뜰에 앉아 있을 때 불러오는 산들바람 같은 향입니다.,Floris London Sephyro
조말론 잉글리시 페어 앤 프리지아,화이트 프리지아 부케 향에다 잘 익은 배의 향이 곁들여져서 지적인 이미지를 자아내는 향수예요.,Jo Malone English Pear & Freesia
조말론 우드 세이즈 앤 씨 솔트,소금기를 머금은 신선한 바다 공기에 세이지라는 허브향과 우디한 흙 내음이 어우러진 향이예요.,Jo Malone Wood Sage & Sea Salt
조말론 라임 바질 앤 만다린,톡 쏘는 라임 향에 약간 이국적인 바질향 그리고 깨끗한 백리향이 더해져서 아주 독보적인 시트러스 향을 완성한 향수죠.,Jo Malone Lime Basil & Mandarin
조말론 넥타린 블로썸 앤 허니,아카시아 꿀에 천도 복숭아가 푹 빠진 듯한 달달한 향기입니다.,Jo Malone Nectarine Blossom & Honey
케이트 스페이드 뉴욕 케이트 스페이드 오드퍼퓸,"딸기가 터지는 그런 느낌인데, 생과일 딸기는 전혀 아니고 딸기 샴푸 같은 느낌이에요. 첫 향은 되게 과즙이 팡! 터지는 느낌인 데에 비해서 잔향은 잔잔하고 포근하게 마무리 돼요. 키크고 마른 사람이 연상되는 느낌이예요! 상큼 달달 귀여운, 기분 좋은 학생 분들 저격 향수 같아요.",Kate Spade New York Kate Spade Eau de Parfum
자라 체리스무디,이 체리스무디의 첫 향은 Tootsie Pop 체리맛 사탕을 응축한 것 같은 향입니다. 그리고 곧 이어서 검붉은 자두의 향과 달달한 바닐라향 그리고 약간의 아몬드 향도 함께 어우러집니다. 근데 좀 더 시간이 지나면 체리스무디에서 꿀 향이 많이 나요.,Zara Cherry Smoothie
산타마리아노벨라 친칸타,"가벼운 메론향과 함께 맑은 물 위에 띄어져있는 흰 꽃들이 연상 돼요. 생과일의 향보다는, 멜론이 들어간 오이 비누 향에 좀 더 가까워요. 물 향이 많이 들어간 과일 향이 나요. 그러면서도 비누가 생각날 정도로 부드러운 질감도 공존합니다. 소프트하면서도 상쾌하죠. 향을 맡았을 때 느껴지는 이미지는 생긴건 부드럽고 순둥순둥한데 성격은 생기있고 에너제틱한 취미를 가지고 있는 사람이 떠올랐어요! 비누처럼 깨끗한 향이 은은하게 풍기는 사람이 생각나기도 하고요.",Santa Maria Novella Chincanta
불리 콩콩브르,"이 콩콩브르는 인공적이지 않은 메론향이라고 할 수 있습니다. 오이랑 메론을 넣은 연두빛 투명한 물 혹은 멜론이랑 오이, 막 각종 허브들로 만든 냉채 느낌의 향기입니다. 오이나 메론 같은 과일과 채소의 원물의 향을 직관적으로 구현하고자 한 느낌이죠. 은은하고 가벼운 향수예요.",Buly 1803 Congo Brousse
SW 19 6AM,"안개 낀 새벽의 영국 숲을 연상시키는 향기로, 좀 어둑어둑하고 안개가 자욱해서 약간 축축한 공기가 감도는 숲에서 날법한 잔디와 나무, 이끼 냄새가 한데 어우러졌습니다. 고요하고 톤이 낮은 그리너리한 느낌이 있어요. 저는 오히려 쑥냄새가 더 느껴진달까요? 그래서 오히려 동양적인 무드로 느껴지기도 합니다. 사람으로 따지자면 약간 말수도 적고 화려한 외모를 가지지 않았지만, 자기만의 신비로운 매력이 있는 사람의 느낌이예요. 옷도 베이직하게 잘 입는 사람이 될 수 있을 것 같은 느낌의 향입니다.",SW 19 6AM
아로 니티 허그,"새하얀 눈 속에서 니트를 두르고 있는 느낌이 연상돼요. 처음에 이 향을 딱 두르면, 볕에 빳빳하게 잘 마른 빨래에서 날 법한 알데하이드 향이 나고, 겨울 바람처럼 약간 시린 느낌이 같이 나요. 그리고 곧이어서 두툼한 니트처럼 포근한 코튼 향과 화이트 마스크 향이 함께 납니다. 첫향에 시린 느낌이 있고 잔향으로 가서 포근해진다느 느낌을 받았어요. 이 향수는 오히려 추운 계절에도 칙칙해지지 않는, 검은 색 롱패딩보다는 흰 색 복슬복슬한 니트 소재 옷을 입을 것 같은 사람이 뿌릴 것 같은 향 같다고 느껴졌어요. 외모도 성격도 편안한 사람이 떠오릅니다.",Aro Niti Hug
나르시소 로드리게즈 퓨어머스크,"꽤 중성적인 향입니다. 비누향 같은데 방금 빤 옷을 입은 그 뽀송한 냄새도 나오고, 그 단정한 느낌 깨끗한 냄새도 나오고, 그 다정하고 포근한 이미지 가진 사람이 뿌리면 딱 좋다고 생각을 했어요. 예를 들면 교회 오빠, 전교 회장, 그래서 많은 이들에게 친절한, MBTI로 따지면 엔프제 같은 느낌? 부드럽고 살냄새 같은 머스크향이 나요.",Narciso Rodriguez Pure Musk
메종 마르지엘라 레플리카 재즈클럽,정말로 내가 어느 분위기 있는 째즈바에 와 있는 느낌이 듭니다. 약간은 습하고 어두컴컴한 지하 재즈바에 들어간 다음에 약간은 끈적이고 낡은 원목 테이블에 앉아서 술을 마실 때 날 것 같은 냄새로 느껴집니다. 역하지 않은 위스키 냄새랑 달달한 초콜렛 및 바닐라 향기가 많이 느껴져요.,Maison Margiela Replica Jazz Club
메종 마르지엘라 레플리카 선데이 모닝,"이 향수는 일요일 아침에 이불 속에서 게으름을 피우고 있는 여가 시간을 표현한 향입니다. 깨끗한 빨래 향으로도 잘 알려져 있는데요, 느낌은 하우스 키퍼가 이제 막 다녀가서 방금 새 것으로 교체된 호텔 침구 냄새 입니다. 화학 성분이 들어간 세제를 사용해서 아주 청결하고 완벽하게 관리한 호텔 이불을 덮었을 때 날 것 같은 냄새요. 전반적으로 빳빳한 머스크 향과 핑크색 섬유유연제 향이 함께 나는 향수예요.",Maison Margiela Replica Sunday Morning
디에스앤더가 카우보이 그라스,"MBTI의 ENTP 같이 자유분방하면서 자기 주장이 확고한 사람을 떠올리게 하는 향수인 것 같아요. 서부 영화에 나오는 모래바람이 불고 건초가 굴러가는 풍경이 그려지는 향이예요. 풀과 곡식 등을 넣어둔 우드 마구간 같은 느낌도 들고요. 스킨향이 살짝 나서 시원해 보이기도 하고, 카우보이들처럼 개척자의 느낌이 있는 것 같아요. 자기가 원하는 것이 있으면 훅 떠나 버릴 것 같은 느낌의 사람이 잘 어울릴 것 같습니다.",DS & Durga Cowboy Grass
메종크리벨리 브와 닷챠이,"산속에서 야생베리를 수확하면서 스파이시하고 스모키한 홍차를 마시는 순간, 깊은 산 속에서 타닥타닥 나뭇잎을 태우고 있을 때 날 법한 스모키한 우디향이랑 차이티 향이 뿌리자마자 납니다. 그리고 블랙베리의 향도 은근하게 나는데요. 야생 블랙베리를 수확하고 있는 기분이 드는 자연적이고 많이 달지 않은 그런 베리 향이 살짝 섞였습니다. 숲속의 평화로운 모습이 너무 잘 표현이 됐습니다.",Maison Crivelli Bois d'atchai
바이레도 인플로레센스,냄새를 맡자마자 엄청 큰 꽃다발을 이렇게 코에 갖다 대는 듯한 부드러운 냄새가 들었거든요. 느낌이 들판을 걷다가 눈에 보이는 꽃들을 다 뽑고 풀도 뽑고 해서 정말 큰 바구니에 담았을 때 그 큰 꽃바구니에서 날 것 같은 냄새로 느껴집니다. 꽃잎의 보들보들한 촉감이 연상될 정도로 정말 생생하고 강력한 생화 향으로 다가와요. 누가 내 얼굴에 꽃을 막 던지는 것 같은 느낌? 식물의 줄기같이 물기를 머금은 듯한 풀 비린내도 함께 납니다. 여기 이 풀 비린내에서 약간 달짝지근한 파우더리함 같은 것도 섞여있더라구요. 물론 이 제품의 향 자체는 아주 은은하고 신선한 향이에요. 진짜 꽃 향기가 그리울 때 생각날 것 같은 향입니다.,Byredo Inflorescence
조말론 레드 로즈,붉은 생장미에 코 박으면 날 것 같은 향입니다. 장미 꽃잎과 싱싱한 풀 줄기 향만 나더라구요. 다른 것들 섞이지 않은 정직하고 깔끔한 생장미 향이고 생화 특유의 쎄하고 꼬릿한 냄새까지 나는 정직하고 깔끔한 느낌의 생장미 향입니다. 전체적으로 어렵지 않고 자연적인 형이고요 가장 생장미 향을 잘 구현한 향수라고 생각합니다.,Jo Malone Red Roses
딥티크 오로즈 오드퍼퓸,장미향에 달달한 리치 냄새와 정원같은 푸릇푸릇한 그리너리함 그리고 캐모마일 향도 함께 납니다.,Diptyque Eau Rose Eau de Parfum
프레드릭 말 윈 로즈,풍성하고 고혹적인 생화 향이 납니다. 뿌리째 뽑혀진 완전한 장미를 한가득 모아둔 듯한 씁쓸한 풀과 흙이 섞인 장미향입니다. 확실히 고급스러운 향이긴 하지만 이게 쿰쿰한 와인에 절여진 장미향으로 느껴질 때가 있어서 가끔 생화보다는 비싼 향수 향 같기도 해요.,Frédéric Malle Une Rose
산타마리아노벨라 로사가데니아,핑크빛 장미 꽃잎의 꽃잎만을 따서 만든 뽀얀 질감의 달달한 장미 우유 같은 향인데요. 종종 이 향을 바나나 킥 냄새를 느끼시는 분들도 있더라고요.,Santa Maria Novella Rosa Gardenia
러쉬 로즈 잼,흑설탕이 보글보글 끓고 있는 냄비에 장미들을 넣고 타기 직전까지 졸이면 날 것 같은 향입니다. 그리고 저는 거기에 약간 찐 고구마처럼 고소한 냄새도 살짝 나더라구요. 전체적으로 러쉬스러움이 묻어있는 달달한 장미향이라고 느꼈습니다.,Lush Rose Jam
메종 프란시스 커정 아라 로즈,깨끗하게 씻고 촉촉하게 스킨케어까지 마친 사람이 장미를 만지작만지작 하고 있을 때 날 것 같은 냄새를 느껴집니다. 되게 투명하고 맑은 느낌의 향인데 어딘가 모르게 따스함과 포근함이 더 있어요. 독특하진 않지만 대체불가한 장미향이라고 생각합니다.,Maison Francis Kurkdjian À la rose
구딸 파리 로즈 폼퐁,스파클링 로제 샴페인 같은 향으로 시작했다가 달달한 라즈베리 주스가 섞인듯한 장미 향으로 이어지고 차분한 머스크 향으로 마무리 됩니다. 영한 바이브와 우아함이 공존하는 장미향이 들며 추천합니다.,Goutal Paris Rose Pompon
아쿠아 디 파르마 로사 노빌레,물에 담가놓은 장미 몇 송이의 장미 꽃잎 만 떼다가 향수로 만든 느낌이에요. 장미의 줄기 라던가 입 같은 건 잘 안들어가고 꽃잎만 들어간 인공적이지 않은 장미 향수 같아요.,Acqua di Parma Rosa Nobile
펜할리곤스 루나,"상큼한 레몬과 오렌지향으로 시작해서 시원한 생장미향과 은은한 자스민 꽃향기, 씁쓸하면서도 신선한 풀향기로 이어지는 향수입니다. 신비롭고 샤랄라하면서도 은근히 중성적인 뉘앙스도 있어요.",Penhaligon's Luna
딥티크 롬브르단로,가시 돋친 야생 장미와 거친 풀잎을 통째로 으깬 뒤에 진득하고 달달한 블랙커런트를 뿌린듯한 향입니다. 장미향기가 지배적이라기보다는 토마토 꼭지 냄새같은 풀향이 더 많이 나는 편이고 축축한 느낌도 있어서 비오는 날 뿌리는 향수로도 유명합니다. ,Diptyque L'Ombre Dans L'Eau
바이레도 로즈오브노맨즈랜드,메디컬한 냄새가 섞인 장미향이 납니다. 병원이나 치과에 가면 나는 소독제 냄새가 살짝 섞인 서늘한 장미향이나 난해하진 않다고 느꼈어요. 과하지 않은 베리의 달콤함과 시크함이 있는 장미향을 연상하게 합니다. ,Byredo Rose of No Man's Land
TWW 오마주,고혹적인 장미들과 나무들이 어우러진 숲에 들어간듯한 향에다가 클래식한 레더 향이 어우러진 향이에요.,TWW Homage
킬리안 문라이트 인 헤븐,"달콤한 망고향이랑 부드러운 코코넛 향이 어우러진 중성적인 과일향이거든요. 친구들이 이거를 딱 맡더니, '어 과일향인데 되게 고급지다 나 달달한 향 안 좋아하는데 이거 엄청 좋다' 이런 얘기를 하더라고요. 막연히 뭔가 드럭스토어에 파는 되게 흔하고 뻔한 핑크빛 향수 냄새가 나지 않아서 되게 재밌는 향수예요. 그리고 망고향 향수라는 거 자체가 흔치 않기도 하고 또 이 망고향을 정말 부내나게 잘 표현한 향수이기 때문에 주변 사람들에게 좋은 호드백을 받지 않았나 싶습니다.",Kilian Moonlight in Heaven
르라보 상탈 33,포근한 샌달우드 향해 촉촉한 비냄새에 가죽 냄새가 곁들여진 향수예요.,Le Labo Santal 33
르라보 베르가못 22,"자몽이나 오렌지, 레몬 같은 상큼한 과일이 열려 있는 나무가 가득한 곳에 간듯한 기분이 드는 시트러스 프레시 계열의 향입니다.",Le Labo Bergamot 22
르라보 어나더 13,유니크하면서도 뇌쇄적이면서도 세심한 이미지의 향이죠.,Le Labo Another 13
르라보 로즈 31,로즈는 남성성/여성성의 경계를 뛰어넘는 스파이시한 우디향이 섞인 장미향이예요. 이거 되게 신비롭고 매력있어서 맡아보시길 추천드릴게요.,Le Labo Rose 31
르라보 떼 누아 29,"시트러스를 비롯해서 무화과, 월계수잎 등의 밝은 느낌이 있으면서 시더우드, 베티버, 머스크 등의 다크한 이미지도 공존하고 있는 향입니다. 그러면서 산뜻한 블랙티향이 나면서도 쌉사래하고 중독적인 담뱃잎 향도 같이 나서 이 향도 진짜 인기 많은 향수죠.",Le Labo Thé Noir 29
퍼퓸드말리 매스큘린 헤롯,위스키 냄새랑 시가 냄새랑 달달한 메이플 시럽 향기가 만나서 달콤 씁쓸한 향기를 자아내요.,Parfums de Marly Masculine Herod
퍼퓸드말리 매스큘린 레이튼,톡 쏘면서도 상쾌한 향인데 성공한 남자를 떠올리게 하는 향입니다.,Parfums de Marly Masculine Layton
퍼퓸드말리 매스큘린 페가수스,"물기있는 플로럴 향에 바닐라, 엠버, 아몬드의 부드러우면서도 알싸한 향이 섞인듯한 느낌이 나요.",Parfums de Marly Masculine Pegasus
퍼퓸드말리 매스큘린 퍼시벌,"프레시한 스킨향에 아로마틱 시트러스, 라벤더 향이 섞인 향입니다.",Parfums de Marly Masculine Percival
아쿠아 디 파르마 미르토 디 파나레아,친환경 허브로 만든 비누로 깨끗하게 샤워하고 나온 듯한 향입니다.,Acqua di Parma Mirto di Panarea
아쿠아 디 파르마 피코 디 아말피,지중해의 푸른 바다 옆에서 자라난 무화과 나무의 향기입니다.,Acqua di Parma Fico di Amalfi
아쿠아 디 파르마 아란치아 디 카프리,잘 익은 귤을 까고 있는 듯한 느낌이 드는 향기입니다.,Acqua di Parma Arancia di Capri
퍼퓸드말리 페미닌 델리나,완전 공주님 향 같아요. 풍성한 핑크빛 꽃다발에다가 달달한 리치 과즙을 뿌린듯한 향기입니다.,Parfums de Marly Feminine Delina
메모 파리 프렌치 레더,부드러운 스웨이드로 감싼 장미꽃 향기입니다.,Memo Paris French Leather
메모 파리 마르파,튜베로즈의 볼륨있는 화이트 플로럴 향과 바닐라 향이 만나서 몽환적인 이미지를 만들어주는 향입니다.,Memo Paris Marfa
메모 파리 아이리시 레더,"마치 푸른 초원을 달리는 야생마가 떠오르는 향이예요. 생기있는 그리너리함과 마테차향, 그리고 이국적인 레더향이 어우러진 향수입니다.",Memo Paris Irish Leather
메모 파리 아프리칸 레더,아프리카의 화려하고 존재감이 뚜렷한 향신료와 그윽한 우디향이 만난 레더 향기입니다.,Memo Paris African Leather
엑스니힐로 상탈 콜링,나무 둥치에 앉아서 우유를 섞은 식물 차를 마시는 듯한 기분이 드는 너무 편안한 우디향입니다.,Ex Nihilo Santal Calling
엑스니힐로 시티즌X,고급스러운 호텔 옥상에서 드레스업하고 있을 때 뿌리고 싶은 씁쓸하면서도 포근한 파우더리한 향입니다.,Ex Nihilo Citizen X
엑스니힐로 더 헤도니스트,개척되지 않은 땅을 모험하는 기분이 드는 풀과 우디 그리고 머스크향이 한데 어우러집니다.,Ex Nihilo The Hedonist
엑스니힐로 골드 이모탈스,달콤한 엠버향이 섞인 플로럴향이라서 뿌리는 것만으로도 당 충전되는 기분이 물씬 듭니다.,Ex Nihilo Gold Immortals
엑스니힐로 아웃캐스트 블루,대담한 이미지를 연출하기 좋은 토바코와 스파이시한 향기가 어우러진 노트입니다.,Ex Nihilo Outcast Blue
엑스니힐로 플뢰르 나르코티끄,수줍으면서도 관능적인 꽃향기를 원한다면 아주 제격인 향수입니다.,Ex Nihilo Fleur Narcotique
엑스니힐로 아이리스 포르셀라나,몽글몽글한 머스크 향과 우아한 아이리스 꽃향기가 어우러진 향기입니다.,Ex Nihilo Iris Porcelana
엑스니힐로 러스트 인 파라다이스,입문자들도 즐길 수 있는 대중적이고 예쁜 프루티 플로럴 향이다.,Ex Nihilo Rust in Paradise
엑스니힐로 콜론 352,깔끔하고 개운한 스킨향을 부담스럽지 않게 표현한 산뜻한 향입니다.,Ex Nihilo Cologne 352
엑스니힐로 엑스플리시트,꽃다발을 달달한 초콜릿에 푹 찍은 것 같은 향에 은은한 샌달우드가 섞여 기분 좋은 향입니다.,Ex Nihilo Explicit
빌리 아일리시 향수 아이리시 넘버 2,"이 향수는 다크하고 묵직한 우디향으로 다가왔어요. 향이 느껴지기에, 동남아에 놀러갔을 때 우기에 가서 어둑한 분위기 속에서 마사지를 받으려고 차분하고 럭셔리한 스파에 가서 향긋한 나무냄새와 아로마 냄새 맡으며 대기하고 있는데 옆에서 직원이 팔로산토를 태우고 있어서 한층 더 마음이 릴렉싱 되는 상황이 연출되는 느낌이었습니다. 묵직한 우디의 중성적인 향이 느껴지며, 블랙 페퍼와 매혹적인 양귀비꽃, 사과꽃 향기가 나는데요. 인센스와 파피루스 향이 이국적인 무드로 피어납니다. 발리가 떠오르는데 해변 말고 요가하고 명상하는 숲 지역, 스파 샵의 느낌에 더 어우러진다고 생각해요. 스모키한 우디 향이 중후하게 퍼지고 에보니 스킨 머스크 향까지 더해져서 전체적으로 대담하고 깊은 향을 완성시켜 줍니다. 향이 되게 트렌디 해요.",Billie Eilish Eilish No. 2
알보우 몬순,"이 향수는 새벽의 이슬이 맺힌 산책로의 향을 표현한 향수입니다. 이슬이 많이 맺혀 있는 꽃밭을 걷고 있는 듯한 느낌을 연상케 하는 향이에요. 올망졸망 피어 있는 여러 가지 꽃들의 향기와 촉촉한 물기가 있고, 달콤한 과일향이 납니다. 어스름하고 안개낀 아침의 느낌보다는 밝고 맑고 달콤하고 선명한 꽃 향기가 납니다. 처음 뿌렸을 때는 물기 많은 과일의 스윗함이 확 퍼지며, 은방울꽃, 자스민, 프리지아 같은 깨끗한 하얀색 꽃 향기들이 풍부하게 납니다. 작은 식물들과 풀들의 향도 언뜻나는 것 같아요.",Albow Monsoon
클린 리저브 레인,"비가 그친 숲속에 차분하고 잔잔한 향을 묘사하고 있어요. 상큼한 시트러스 향으로 시작해서 워터리한 풀향과 꽃향으로 이어지는데, 숲속에서 비를 맞고 나서 오이비누나 물비누로 샤워를 하고 있을 때 날 것 같은 향입니다. 깨끗하고 아쿠아틱한 향에다 약간의 숲과 비의 바이브를 첨가한 느낌이에요. 깔끔하고 캐주얼하고 중성적이어서 헐렁한 티셔츠에 모자 쓰고 별로 안 꾸몄을 때도 잘 어울리는 향입니다.",Clean Reserve Rain
센녹 애프터 베스,"이 향은 첫 향에서는 약간 쨍한 시트러스-허브향이 있지만, 방금 씻고 나온 히노키 탕에서 나는 비누 수증기 향이에요. 마치 안개처럼 아련하게 슬쩍슬쩍 느껴지는 순수한 향입니다.",Senok After Bath
