name,향수_note
1 Million Parfum  Paco Rabanne,"Tuberose, Monoi Oil, Salt, Ambergris, Solar notes, Leather, Cashmeran, Pine, Labdanum"
Voce Viva  Valentino,"Mandarin Orange, Bergamot, Ginger, Orange Blossom, Gardenia, Vanilla, Tonka Bean, Musk, Sandalwood, Oakmoss"
Le Lion de  Chanel Chanel,"Lemon, Bergamot, Labdanum, Amber, Madagascar Vanilla, Patchouli, Sandalwood, Musk"
Irresistible  Givenchy Givenchy,"Pear, Ambrette (Musk Mallow), Rose, iris, Musk, Virginia Cedar"
Rose Prick  Tom Ford,"Sichuan Pepper, Turmeric, May Rose, Bulgarian Rose, Turkish Rose, Patchouli, Tonka Bean"
So Scandal!  Jean Paul Gaultier,"Raspberry, Tuberose, Milk, Jasmine Sambac, Orange Blossom"
Idôle L'Intense  Lancome,"Bitter Orange, Mandarin Orange, Turkish Rose, Grasse Rose, Egyptian Jasmine, Jasmine Sambac, Jasmine, Musk, Acácia, Cashmere Wood, Patchouli, Madagascar Vanilla, Cedar, Sandalwood"
Pasha de  Parfum Cartier Cartier,"Sandalwood, Liquor, Balsam Fir, Tonka Bean, Benzoin, Ambrocenide, Indonesian Patchouli Leaf, Labdanum"
Eros Eau De Parfum  Versace,"Mint, Candy Apple, Lemon, Mandarin Orange, Ambroxan, Geranium, Clary Sage, Vanilla, Leather, Sandalwood, Cedar, Bitter Orange, Patchouli"
Nomade Absolu de Parfum  Chloé,"Mirabelle, Oakmoss, Davana, Sandalwood, Musk"
Interlude Black Iris Man  Amouage,"Violet Leaf, Rosemary, Bergamot, Orris, Olibanum, Myrhh, Vanilla, Labdanum, Amber, Leather, Agarwood (Oud), Sandalwood, Patchouli, Cedar"
J'Adore Infinissime  Christian Dior,"Blood Orange, Bergamot, Pink Pepper, Tuberose, Jasmine Sambac, Ylang-Ylang, Lily-of-the-Valley, Rose, Sandalwood"
Angel Eau Croisière 2020  Mugler,"Fig Nectar, Praline, Patchouli, Magnolia, Vanilla"
R.E.M.  Ariana Grande,"Zefir, Caramel, Fig, Salt, Quince, Lavender, Pear Blossom, Tonka Bean, Musk, Sandalwood"
Alahine  Teo Cabanel,"Ylang-Ylang, Bergamot, Pepper, Rose, Orange Blossom, Jasmine, Benzoin, French labdanum, Sandalwood, Vanilla, iris, Patchouli, Musk"
L’Homme Ideal Eau de Parfum  Guerlain,"Almond, Spices, Lavender, Bergamot, Rosemary, Thyme, Cherry, Vanilla, Incense, Bulgarian Rose, Tonka Bean, Leather, Sandalwood"
Arabie  Serge Lutens,"Dried Fruits, Cloves, Dates, Nutmeg, Caraway, Bay Leaf, Resin, Siam Benzoin, Myrrh, Fig, Sandalwood, Mandarin Orange, Tonka Bean, Cedar"
Poison  Christian Dior,"Plum, Wild berries, Coriander, Anise, Brazilian Rosewood, Tuberose, Incense, white honey, Cinnamon, Opoponax, Carnation, Jasmine, African Orange flower, Rose, Vanille, Amber, Sandalwood, Musk, Heliotrope, Vetiver, Virginia Cedar"
Levante Intense  Jo Milano Paris,"Grapefruit, Jasmine, Bay Leaf, Oakmoss, Patchouli"
New York Kate Spade Kate Spade,"Wild Strawberry, Bergamot, Citruses, Rose, Freesia, Ambroxan, Cashmeran"
La Yuqawam Jasmine Wisp  Rasasi,"Mandarin Orange, Lemon, Grapefruit, Passionfruit, White Flowers, Pear, Coconut, Peach, Vanilla, Amber, Tonka Bean"
Her Intense Burberry Burberry,"Red Fruits, Blackberry, Jasmine, Benzoin"
Oriental Orchid  Rirana Parfume,"Orchid, White Flowers, Chocolate, Patchouli, Incense"
1 Million Lucky  Paco Rabanne,"Plum, Ozonic notes, Grapefruit, Bergamot, Hazelnut, Honey, Cedar, Cashmere Wood, Jasmine, Orange Blossom, Amberwood, Patchouli, Oakmoss, Vetiver"
Midnight Fantasy  Britney Spears,"Plum, Sour Cherry, Raspberry, Orchid, iris, Freesia, Vanilla, Amber, Musk"
Shock-In-Scent For Women  Police,"Almond, Bergamot, White Flowers, Jasmine, Ylang-Ylang, Honey, Amber, Orris Root"
Fantasy The Nice Remix  Britney Spears,"Cupcake, Jasmine, Kiwi, Musk"
Cloud  Ariana Grande,"Lavender, Pear, Bergamot, Whipped cream, Praline, Coconut, Vanilla orchid, Musk, Woody Notes"
Lost Cherry  Tom Ford,"Sour Cherry, Bitter Almond, Liquor, Sour Cherry, Plum, Turkish Rose, Jasmine Sambac, Tonka Bean, Vanilla, Peru Balsam, Benzoin, Cinnamon, Sandalwood, Cedar, Cloves, Vetiver, Patchouli"
Ombré Leather (2018)  Tom Ford,"Cardamom, Leather, Jasmine Sambac, Amber, Moss, Patchouli"
L'Interdit Eau de Parfum  Givenchy,"Pear, Bergamot, Tuberose, Orange Blossom, Jasmine Sambac, Patchouli, Vanilla, Ambroxan, Vetiver"
Y Eau de Parfum  Yves Saint Laurent,"Apple, Ginger, Bergamot, Sage, Juniper Berries, Geranium, Amberwood, Tonka Bean, Cedar, Vetiver, Olibanum"
Her Burberry Burberry,"Strawberry, Raspberry, Blackberry, Sour Cherry, Black Currant, Mandarin Orange, Lemon, Violet, Jasmine, Musk, Vanilla, Oakmoss, Cashmeran, Woody Notes, Amber, Patchouli"
Oud for Greatness  Initio Parfums Prives,"Saffron, Nutmeg, Lavender, Agarwood (Oud), Patchouli, Musk"
Nomade  Chloé,"Mirabelle, Bergamot, Lemon, Orange, Freesia, Peach, Rose, Jasmine, Oakmoss, Amberwood, Patchouli, White Musk, Sandalwood"
Sauvage Eau de Parfum  Christian Dior,"Bergamot, Sichuan Pepper, Lavender, Star Anise, Nutmeg, Ambroxan, Vanilla"
Wanted by Night  Azzaro,"Cinnamon, Mandarin Orange, Lavender, Lemon, Fruity Notes, Incense, Red Cedar, Cumin, Tobacco, Vanilla, Cedar, Leather, Benzoin, Cypress, Iso E Super, Patchouli"
Narciso Rouge  Narciso Rodriguez,"iris, Bulgarian Rose, Musk, Tuberose, Orange Blossom, Tonka Bean, Vanilla, White Cedar Extract, Cedar, Sandalwood, Vetiver"
The Only One  Dolce&Gabbana,"Violet, Bergamot, Orange, Coffee, Pear, iris, Orange Blossom, Rose, Caramel, Vanilla, Patchouli"
Bleu de  Parfum Chanel Chanel,"Lemon Zest, Bergamot, Mint, Artemisia, Lavender, Geranium, Pineapple, Green Notes, Sandalwood, Cedar, Amberwood, Iso E Super, Tonka Bean"
Coco Mademoiselle Intense  Chanel,"Sicilian Orange, Calabrian bergamot, Lemon, Rose, Fruity Notes, Jasmine, Patchouli, Tonka Bean, Madagascar Vanilla, Labdanum, White Musk"
La Nuit Trésor à la Folie  Lancome,"Red Currant, Pear, Pink Pepper, Bergamot, Damask Rose, Violet, Peony, Jasmine, Bourbon Vanilla, Tonka Bean, Benzoin, Nutmeg, Ambroxan, Patchouli, Woody Notes"
Gentleman Eau de Parfum  Givenchy,"Black Pepper, Lavender, Bergamot, Orris, Cloves, Cinnamon, Black Vanilla Husk, Tolu Balsam, Patchouli, Tonka Bean, Benzoin"
Delina Exclusif  Parfums de Marly,"Litchi, Pear, Bergamot, Turkish Rose, Agarwood (Oud), Incense, Vanilla, Amber, Woody Notes"
Pure XS For Her  Paco Rabanne,"Popocorn, Vanilla, Ylang-Ylang, Coconut, Peach, Orange Blossom, Ambrette (Musk Mallow), White Musk, Sandalwood, Amberwood"
Eros Flame  Versace,"Mandarin Orange, Black Pepper, Chinotto, Lemon, Rosemary, Pepper, Geranium, Rose, Vanilla, Tonka Bean, Texas Cedar, Sandalwood, Patchouli, Oakmoss"
Moustache Eau de Parfum  Rochas,"Pink Pepper, Mandarin Orange, Atlas Cedar, Bulgarian Rose, Benzoin, Vanilla, Patchouli"
Scandal By Night  Jean Paul Gaultier,"Honey, Bitter Orange, Citruses, Tuberose, Cherry, Orange Blossom, Pear, Nard Himalayan (Jatamansi), Tonka Bean, Vanilla, Patchouli, Sandalwood, Amberwood, White Musk"
Boss The Scent Private Accord for Her   Hugo Boss,"Mandarin Orange, Coffee, Osmanthus, Cacao, Tonka Bean"
Luna Rossa Black  Prada,"Bergamot, Angelica, Patchouli, Coumarin, Amber, Musk"
Dolce Garden  Dolce&Gabbana,"Magnolia, Mandarin Orange, Neroli, Coconut, Frangipani, Ylang-Ylang, Vanilla Absolute, Almond Milk, Sandalwood"
I Don't Need A Prince By My Side To Be A Princess  By Kilian,"Lemon, Green Tea, Ginger, Peach, Hedione, Jasmine, Apple, Marshmallow, Vanilla, Benzoin"
Vibrant Leather Eau de Parfum  Zara,"Bergamot, Bamboo, Leather"
Joy by Dior  Christian Dior,"Bergamot, Mandarin Orange, Jasmine, Grasse Rose, Peach, Cassis, White Musk, Sandalwood, Cedar, Patchouli, Benzoin"
Uomo  Signature  Salvatore Ferragamo Salvatore Ferragamo,"Italian Mandarin, Pink Pepper, Grapefruit, Cinnamon, Cardamom, Cypress, Tonka Bean, Leather, Roasted Coffee Beans, Patchouli"
Rehab  Initio Parfums Prives,"Lavender, Bergamot, Cedar, Vetiver, Patchouli, Sandalwood, Guaiac Wood, Musk"
Rogue Man  Rihanna,"Black Pepper, Rosemary, Bergamot, Clementine, Vanilla orchid, Labdanum, Jasmine, Cedar, Tonka Bean, Amber, Sandalwood, Musk, Patchouli"
Euphoria Amber Gold  Calvin Klein,"Plum, Mandarin Orange, Rose, Honey, Orange Blossom, Orris, Amber, Sandalwood, Vanilla, Labdanum"
Beach Hut Man  Amouage,"Mint, Galbanum, Orange Blossom, Ivy, Vetiver, Moss, Myrrh, Woody Notes, Patchouli"
Oud Touch  Franck Olivier,"Caramel, Raspberry, Orange, Rose, Olibanum, Patchouli, Violet, Jasmine, Amber, Vanilla, Musk"
Wonder Bouquet  Mugler,"Shiso, Lily-of-the-Valley, Orange, Tangerine, Petitgrain, Brioche, Jasmine Sambac, Orange Blossom, Tuberose, Rose, Hazelnut, Beeswax, Vanilla, Cashmeran"
Chergui  Serge Lutens,"Tobacco Leaf, Honey, Amber, Hay, Incense, Sandalwood, iris, Musk, Rose"
Fan Your Flames  Nishane,"Coconut, Rum, Tobacco, Tonka Bean, Chinese Cedar, Oakmoss"
Flower by  Eau de Lumière Kenzo Kenzo,"Calabrian bergamot, Cassis, Jasmine, Bulgarian Rose, Ylang-Ylang, Peach, Violet, White Musk, Heliotrope"
Boucheron Boucheron,"Tagetes, Orange, Tangerine, Apricot, Bitter Orange, Asafoetida, Cassia, Basil, Lemon, Bergamot, Tuberose, Madagascar Ylang-Ylang, Jasmine, Orange Blossom, Narcissus, Geranium, Orris Root, Cedar, Lydia Broom, Lily-of-the-Valley, Amber, Civet, Sandalwood, Benzoin, Indian Vanilla, Oakmoss, Tonka Bean, Musk"
Ani  Nishane,"Ginger, Bergamot, Pink Pepper, Green Notes, Black Currant, Cardamom, Turkish Rose, Vanilla, Sandalwood, Benzoin, Cedar, Patchouli, Ambergris, Musk"
Bad Boy Le Parfum  Carolina Herrera,"Grapefruit, cannabis, Geranium, Black Pepper, Leather, Vetiver"
Karagoz  Nishane,"Grapes, Pineapple, Herbal Notes, Patchouli, Neroli, Jasmine, Vetiver, Agarwood (Oud), Amber"
By the Fireplace  Maison Martin Margiela,"Cloves, Pink Pepper, Orange Blossom, Chestnut, Guaiac Wood, Juniper, Vanilla, Peru Balsam, Cashmeran"
Hacivat  Nishane,"Pineapple, Grapefruit, Bergamot, Cedar, Patchouli, Jasmine, Oakmoss, Woody Notes"
Herod  Parfums de Marly,"Cinnamon, Pepper, Tobacco Leaf, Incense, Osmanthus, Labdanum, Vanilla, Iso E Super, Musk, Cedar, Cypriol Oil or Nagarmotha, Vetiver"
Mon  Guerlain Guerlain,"Lavender, Bergamot, iris, Jasmine Sambac, Rose, Tahitian Vanilla, Coumarin, Australian Sandalwood, Benzoin, Licorice, Patchouli"
Delina  Parfums de Marly,"Litchi, Rhubarb, Bergamot, Nutmeg, Turkish Rose, Peony, Musk, Petalia, Vanilla, Cashmeran, Cedar, Haitian Vetiver, Incense"
Red Tobacco  Mancera,"Cinnamon, Agarwood (Oud), Saffron, Incense, Nutmeg, Green Apple, White Pear, Patchouli, Jasmine, Tobacco, Madagascar Vanilla, Amber, Sandalwood, Guaiac Wood, White Musk, Haitian Vetiver"
Baccarat Rouge 540 Extrait de Parfum  Maison Francis Kurkdjian,"Bitter Almond, Saffron, Egyptian Jasmine, Cedar, Ambergris, Musk, Woody Notes"
Aura  Mugler Mugler,"Rhubarb Leaf, Bergamot, Green Notes, Orange Blossom, Ylang-Ylang, Pear, Bourbon Vanilla, Woody Notes, Amberwood, Sandalwood, Coumarin"
Black Phantom  By Kilian,"Dark Chocolate, Rum, Caramel, Coffee, Sugar Cane, Almond, Sandalwood, Heliotrope"
Girl of Now  Elie Saab,"Pistachio, Pear, Mandarin Orange, Almond, Orange Blossom, Magnolia, Almond Milk, Tonka Bean, Cashmeran, Patchouli"
Light Blue Eau Intense Pour Homme  Dolce&Gabbana,"Grapefruit, Mandarin Orange, Sea water, Juniper, Amberwood, Musk"
Scandal  Jean Paul Gaultier,"Blood Orange, Mandarin Orange, Honey, Gardenia, Orange Blossom, Jasmine, Peach, Beeswax, Patchouli, Caramel, Licorice"
Fucking Fabulous  Tom Ford,"Clary Sage, Lavender, Bitter Almond, Leather, Vanilla, Orris, Leather, Tonka Bean, Cashmeran, White Woods, Amber"
Guilty Absolute Gucci Gucci,"Leather, Cypress, Patchouli, Woody Notes, Vetiver"
Bloom Gucci Gucci,"Jasmine, Tuberose, Rangoon creeper"
Luna Rossa Carbon  Prada,"Bergamot, Pepper, Lavender, Metallic notes, Coal, Watery Notes, Soil tincture, Ambroxan, Patchouli"
Light Blue Eau Intense  Dolce&Gabbana,"Lemon, Granny Smith apple, Marigold, Jasmine, Musk, Amberwood"
Emporio Armani Stronger With You  Giorgio Armani,"Cardamom, Pink Pepper, Mint, Violet Leaf, Pineapple, Sage, Melon, Cinnamon, Lavender, Vanilla, Chestnut, Cedar, Amberwood, Guaiac Wood"
Artisan Pure  John Varvatos,"Clementine, Mandarin Orange, Lemon, Bergamot, Thyme, Marjoram, Petitgrain, Ginger, Woody Notes, Musk, Orris Root, Amber"
L'Homme Intense Prada Prada,"iris, Amber, Patchouli, Tonka Bean, Leather, Sandalwood"
Black Perfecto by La Petite Robe Noire  Guerlain,"Sour Cherry, Almond, Black Tea, Rose, Licorice, Leather, Tonka Bean, Patchouli, Black Musk"
Sì Passione  Giorgio Armani,"Pear, Black Currant, Pink Pepper, Grapefruit, Rose, Pineapple, Heliotrope, Jasmine, Vanilla, Cedar, Patchouli, Amberwood"
Twilly d’ Hermès Hermès,"Ginger, Bitter Orange, Bergamot, Tuberose, Orange Blossom, Jasmine, Sandalwood, Vanilla"
Fleur Musc for Her  Narciso Rodriguez,"Pink Pepper, Rose, Musk, Peony, Patchouli, Violet, Amber"
Gabrielle  Chanel,"Grapefruit, Mandarin Orange, Black Currant, Orange Blossom, Jasmine, Ylang-Ylang, Tuberose, Lily-of-the-Valley, Pear, Pink Pepper, Musk, Sandalwood, Cashmeran, Orris"
Elysium Pour Homme Parfum Cologne  Roja Dove,"Grapefruit, Lemon, Bergamot, Lime, Thyme, Artemisia, Galbanum, Vetiver, Juniper Berries, Black Currant, Apple, Cedar, Pink Pepper, Rose, Jasmine, Cypriol Oil or Nagarmotha, Lily-of-the-Valley, Ambergris, Vanilla, Benzoin, Leather, Labdanum"
Pour Femme Dylan Blue Versace Versace,"Granny Smith apple, Black Currant, Clover, Forget me not, Shiso, Peach, Rose Hip, Petalia, Rose, Jasmine, Musk, White Woods, Styrax, Patchouli"
Miss Dior Eau de Parfum (2017)  Christian Dior,"Pink Pepper, Blood Orange, Sweet Orange, Mandarin Orange, Calabrian bergamot, Lemon, Grasse Rose, Damask Rose, Jasmine Leaf, Patchouli, Palisander Rosewood"
Psychedelic Love  Initio Parfums Prives,"Ylang-Ylang, Bergamot, Heliotrope, Hedione, Bulgarian Rose, Myrrh, Sandalwood"
Vanille Fatale  Tom Ford,"Myrrh, Rum, Olibanum, Coriander, Saffron, Orange, Lime, Barley, Coffee, Frangipani, Plum, Narcissus, Rose, Artemisia, Madagascar Vanilla, Suede, Mahogany, Tobacco, Patchouli, Oakmoss, Violet"
Insolence Eau de Parfum  Guerlain,"Violet, Powdery Notes, iris, Red Berries"
La Vie est Belle L'Éclat  Lancome,"Bergamot, Mandarin Orange, Freesia, Orange Blossom, White Flowers, iris, Jasmine Sambac, Vanilla, Sandalwood, Patchouli"
Bad Boy  Carolina Herrera,"White Pepper, Black Pepper, Bergamot, Sage, Cedar, Tonka Bean, Cacao, Amberwood"
L'Heure Bleue Eau de Parfum  Guerlain,"Anise, Neroli, Coriander, Bergamot, Lemon, Heliotrope, Carnation, Violet, Cloves, Neroli, Ylang-Ylang, Bulgarian Rose, Jasmine, Orchid, Tuberose, iris, Vanilla, Benzoin, Sandalwood, Tonka Bean, Musk, Vetiver"
Zahrat Hawai  Al-Rehab,"Pineapple, Piña Colada, Citruses, Big Strawberry, Coconut, Exotic floral notes, Caramel, Woody Notes"
Glow  Jennifer Lopez,"Neroli, Orange Blossom, Grapefruit, Jasmine, Rose, Tuberose, Musk, Sandalwood, Orris Root, Vanilla, Amber"
Whispers in the Library  Maison Martin Margiela,"Vanilla, Woody Notes, Pepper, Cedar"
Coco Mademoiselle  Chanel,"Orange, Mandarin Orange, Bergamot, Orange Blossom, Turkish Rose, Jasmine, Mimosa, Ylang-Ylang, Patchouli, White Musk, Vanilla, Vetiver, Tonka Bean, Opoponax"
Boss Soul  Hugo Boss,"Cardamom, Pepper, Anise, Mandarin Orange, Bergamot, Cinnamon, Nutmeg, Lavender, Coriander, Vanilla, Tonka Bean, Amber, Vetiver, Musk"
Light Blue pour Homme  Dolce&Gabbana,"Grapefruit, Bergamot, Sicilian Mandarin, Juniper, Pepper, Rosemary, Brazilian Rosewood, Incense, Musk, Oakmoss"
Libre  Yves Saint Laurent,"Lavender, Mandarin Orange, Black Currant, Petitgrain, Lavender, Orange Blossom, Jasmine, Madagascar Vanilla, Ambergris, Musk, Cedar"
Soleil Blanc  Tom Ford,"Pistachio, Bergamot, Cardamom, Pink Pepper, Tuberose, Ylang-Ylang, Jasmine, Coconut, Amber, Tonka Bean, Benzoin"
Secret de  Rose Intense Rochas Rochas,"May Rose, Passionfruit, Peach, Red Rose, Green Leaves, Osmanthus, Patchouli, Musk, Moss, Amber"
Jasmin et Cigarette  Etat Libre d'Orange,"Jasmine, Tobacco, Apricot, Hay, Musk, Cedar, Cumin, Tonka Bean, Amber"
En Passant  Frederic Malle,"Lilac, Watery Notes, Cucumber, Wheat, Petitgrain"
Club de Nuit Intense Man  Armaf,"Lemon, Pineapple, Black Currant, Bergamot, Apple, Birch, Jasmine, Rose, Musk, Ambergris, Patchouli, Vanilla"
Explorer  Montblanc,"Bergamot, Pink Pepper, Clary Sage, Haitian Vetiver, Leather, Ambroxan, Akigalawood, Indonesian Patchouli Leaf, Cacao Pod"
Toy Boy  Moschino,"Pink Pepper, Pear, Indonesian Nutmeg, elemi, Bergamot, Rose, Magnolia, Clove, Flax, Haitian Vetiver, Cashmeran, Sylkolide, Amber, Sandalwood"
Idôle  Lancome,"Pear, Bergamot, Turkish Rose, Rose de Mai, Indian Jasmine, White Musk, Vanilla"
Pure Musc For Her  Narciso Rodriguez,"Musk, Flowers, Cashmeran"
La Belle  Jean Paul Gaultier,"Pear, Vetiver, Vanilla"
Mémoire d’une Odeur  Gucci,"Chamomile, Bitter Almond, Musk, Indian Jasmine, Jasmine, Sandalwood, Cedar, Vanilla"
Armani Code Absolu  Giorgio Armani,"Green Mandarin, Apple, Nutmeg, Orange Blossom, Carrot Seeds, Vanilla, Tonka Bean, Suede, Woody Notes"
Instant Crush  Mancera,"Saffron, Ginger, Sicilian Mandarin, Sicilian Bergamot, Amberwood, Moroccan Rose, Egyptian Jasmine, Indonesian Patchouli Leaf, Madagascar Vanilla, Sandalwood, White Musk, Oakmoss"
Mon  Eau de Parfum Intense Guerlain Guerlain,"Lavender, Mandarin Orange, Bergamot, Tahitian Vanilla, Madagascar Vanilla, iris, Jasmine Sambac, Rose, Coumarin, Patchouli, Licorice, Benzoin, Australian Sandalwood, White Musk"
Sì Fiori  Giorgio Armani,"Black Currant, Green Mandarin, Neroli, Rose, Patchouli, Oakmoss, Vanilla, White Musk"
Gabrielle Essence  Chanel,"Citruses, Peach, Red Fruits, Petitgrain, Black Currant, White Flowers, Tuberose, Ylang-Ylang, Jasmine, Orange Blossom, Coconut, Musk, Sandalwood, Vanilla"
Emporio Armani Stronger With You Intensely   Giorgio Armani,"Pink Pepper, Juniper, Violet, Toffee, Cinnamon, Lavender, Sage, Vanilla, Tonka Bean, Amber, Suede"
for Men Intense Bentley Bentley,"Black Pepper, Bay Leaf, Bergamot, Rum, Woody Notes, Cinnamon, Clary Sage, African Geranium, Incense, Leather, Benzoin, Patchouli, Cedar"
Si  Giorgio Armani,"Cassis, May Rose, Freesia, Vanilla, Patchouli, Ambroxan, Woody Notes"
Intense Cafe  Montale,"Floral Notes, Rose, Coffee, Vanila, White Musk, Amber"
Jazz Club  Maison Martin Margiela,"Pink Pepper, Neroli, Lemon, Rum, Clary Sage, Java vetiver oil, Tobacco Leaf, vanilla bean, Styrax"
Invictus  Paco Rabanne,"Sea Notes, Grapefruit, Mandarin Orange, Bay Leaf, Jasmine, Ambergris, Guaiac Wood, Oakmoss, Patchouli"
Encre Noire Sport  Lalique,"Grapefruit, Bergamot, Nutmeg, Cypress, Watery Notes, Lavender, Bourbon Vetiver, Haitian Vetiver, Cashmere Wood, Musk"
Dior Homme Cologne 2013  Christian Dior,"Calabrian bergamot, Grapefruit blossom, Musk"
Oajan  Parfums de Marly,"Cinnamon, Honey, Osmanthus, Benzoin, Ambergris, Labdanum, Artemisia, Tonka Bean, Vanila, Patchouli, Musk"
Tobacco Oud  Tom Ford,"Whiskey, Spicy Notes, Cinnamon, Coriander, Tobacco, Agarwood (Oud), Sandalwood, Patchouli, Incense, Benzoin, Vanilla, Cedar"
Peony & Blush Suede  Jo Malone London,"Red Apple, Peony, Rose, Jasmine, Carnation, Suede"
La Fille de Berlin  Serge Lutens,"Rose, Geranium, Palmarosa, Honey, Moss, Patchouli"
Pour Homme Oud Noir Versace Versace,"Black Pepper, Bitter Orange, Neroli, Saffron, Cardamom, Olibanum, Agarwood (Oud), Patchouli, Leatherwood"
Plum Japonais  Tom Ford,"Cinnamon, Saffron, Japanese Plum, Plum Blossom, Immortelle, Camellia, Liquor, Cypress, Agarwood (Oud), Amber, Benzoin, Fir, Vanilla"
Jour d'Hermes  Hermès,"Grapefruit, Lemon, Watery Notes, White Flowers, Gardenia, Green Notes, Sweet Pea, Musk, Woody Notes"
Bright Crystal Absolu  Versace,"Pomegranate, Yuzu, Water Notes, Peony, Raspberry, Lotus, Magnolia, Musk, Mahogany, Amber"
Pour Femme Intense Dolce&Gabbana Dolce&Gabbana,"Neroli, Green Mandarin, Orange Blossom, Tuberose, Marshmallow, Sandalwood"
Lazy Sunday Morning  Maison Martin Margiela,"Aldehydes, Lily-of-the-Valley, Pear, Rose, iris, Orange Blossom, White Musk, Ambrette (Musk Mallow), Indonesian Patchouli Leaf"
Enigma Pour Homme  Roja Dove,"Black Pepper, Neroli, Bergamot, Cognac, Tobacco, Ginger, Jasmine, Vanilla, Benzoin, Patchouli"
Chloe Roses De Chloe  Chloé,"Litchi, Bergamot, Tarragon, Lemon, Damask Rose, Magnolia, Cedar, Apple, Black Currant, Peach, White Musk, Amber, Woody Notes"
Meliora  Parfums de Marly,"Black Currant, Red Berries, Cassis, Rose, Ylang-Ylang, Lily-of-the-Valley, Vanilla, Musk"
Viva La Juicy Noir  Juicy Couture,"Wild berries, Mandarin Orange, Honeysuckle, Gardenia, Jasmine, Caramel, Vanilla, Amber, Sandalwood"
My Name  Trussardi,"Heliotrope, White Violet, Lilac, Musk, Arum Lily, Vanilla, Amber"
Satine  Lalique,"Heliotrope, Gardenia, Jasmine, Tonka Bean, Vanila, Pink Pepper, Sandalwood, Patchouli, Vetiver"
for Women Adam Levine Adam Levine,"Spices, Marigold, Saffron, Citruses, Australian Sandalwood, Indian Jasmine, Rose Petals, Vanila, Benzoin"
1899 Hemingway  Histoires de Parfums,"Juniper, Black Pepper, Bergamot, Cinnamon, iris, Orange Blossom, Vanilla, Amber, Vetiver"
Fate for Women  Amouage,"Cinnamon, Pepper, Red Chilli Pepper, Bergamot, Incense, Narcissus, Labdanum, Rose, Jasmine, Incense, Benzoin, Vanila, Castoreum, Leather, Oakmoss, Patchouli"
Safanad  Parfums de Marly,"Pear, Orange, Orange Blossom, Ylang-Ylang, iris, Vanilla, Sandalwood, Amber"
Manifesto l'Elixir  Yves Saint Laurent,"Bergamot, Mandarin Orange, Heliotrope, Jasmine Sambac, Tuberose, Vanilla, Cashmere Wood, Ambroxan"
Baccarat Rouge 540  Maison Francis Kurkdjian,"Saffron, Jasmine, Amberwood, Ambergris, Fir Resin, Cedar"
Sauvage   Christian Dior,"Calabrian bergamot, Pepper, Sichuan Pepper, Lavender, Pink Pepper, Vetiver, Patchouli, Geranium, elemi, Ambroxan, Cedar, Labdanum"
